AdvantEdge -  TechEdge © 2026 - Polsat Media
Analysis:,Time
Time:,"26 August 2026, 11:54:31"
Period:,2024-01-01 - 2026-08-24,[24-27]
Targets:,"Poland OOH	Nat[Live +2 OOH]	A16-59	58,443%	-	19695053	4619"
------------------------------------

,,,Units,Target,Universe
,,,TRP (avgW),ATV,Share
,,,A16-59,A16-59,A16-59
Channel,Date,Time,Nat[Live +2 OOH],Nat[Live +2 OOH],Nat[Live +2 OOH]
TV PULS,2024-03-24,16:30:00,"0,667","0,100","2,378"
TV PULS,2024-03-24,16:45:00,"0,923","0,138","3,314"
TV PULS,2024-03-24,17:00:00,"0,847","0,127","3,028"
TV PULS,2024-03-24,17:15:00,"0,946","0,142","3,446"
TV PULS,2024-03-24,17:30:00,"0,938","0,141","3,514"
TV PULS,2024-03-24,17:45:00,"0,918","0,138","3,363"
TV PULS,2024-03-24,18:00:00,"1,139","0,171","4,079"
TV PULS,2024-03-24,18:15:00,"1,007","0,151","3,485"
TV PULS,2024-03-24,18:30:00,"1,134","0,170","3,770"
TV PULS,2024-03-24,18:45:00,"1,318","0,198","4,157"
TV PULS,2024-03-24,19:00:00,"1,386","0,208","4,065"
TV PULS,2024-03-24,19:15:00,"1,609","0,241","4,675"
TV PULS,2024-03-24,19:30:00,"1,733","0,260","5,066"
TV PULS,2024-03-24,19:45:00,"2,128","0,319","6,171"
TV PULS,2024-03-24,20:00:00,"2,001","0,300","5,661"
TV PULS,2024-03-24,20:15:00,"1,803","0,270","5,010"
TV PULS,2024-03-24,20:30:00,"1,578","0,237","4,378"
TV PULS,2024-03-24,20:45:00,"1,820","0,273","5,121"
TV PULS,2024-03-24,21:00:00,"1,488","0,223","4,249"
TV PULS,2024-03-24,21:15:00,"1,642","0,246","4,817"
TV PULS,2024-03-24,21:30:00,"1,867","0,280","5,731"
TV PULS,2024-03-24,21:45:00,"1,823","0,273","5,846"
TV PULS,2024-03-24,22:00:00,"2,197","0,330","7,438"
TV PULS,2024-03-24,22:15:00,"2,179","0,327","8,290"
TV PULS,2024-03-24,22:30:00,"1,424","0,214","5,958"
TV PULS,2024-03-24,22:45:00,"1,190","0,178","5,539"
TV PULS,2024-03-24,23:00:00,"0,980","0,147","5,067"
TV PULS,2024-03-24,23:15:00,"1,017","0,153","6,081"
TV PULS,2024-03-24,23:30:00,"0,889","0,133","6,102"
TV PULS,2024-03-24,23:45:00,"0,878","0,132","7,054"
TV PULS,2024-03-24,24:00:00,"0,960","0,144","9,124"
TV PULS,2024-03-24,24:15:00,"0,780","0,117","8,280"
TV PULS,2024-03-24,24:30:00,"0,521","0,078","6,216"
TV PULS,2024-03-24,24:45:00,"0,387","0,058","5,251"
TV PULS,2024-03-24,25:00:00,"0,376","0,056","5,698"
TV PULS,2024-03-24,25:15:00,"0,377","0,057","6,602"
TV PULS,2024-03-24,25:30:00,"0,364","0,055","7,266"
TV PULS,2024-03-24,25:45:00,"0,405","0,061","8,924"
TV PULS,2024-03-25,02:00:00,"0,274","0,041","6,541"
TV PULS,2024-03-25,02:15:00,"0,194","0,029","5,369"
TV PULS,2024-03-25,02:30:00,"0,141","0,021","4,213"
TV PULS,2024-03-25,02:45:00,"0,130","0,019","4,329"
TV PULS,2024-03-25,03:00:00,"0,142","0,021","5,574"
TV PULS,2024-03-25,03:15:00,"0,127","0,019","5,388"
TV PULS,2024-03-25,03:30:00,"0,126","0,019","5,672"
TV PULS,2024-03-25,03:45:00,"0,157","0,023","7,042"
TV PULS,2024-03-25,04:00:00,"0,163","0,025","7,058"
TV PULS,2024-03-25,04:15:00,"0,149","0,022","6,821"
TV PULS,2024-03-25,04:30:00,"0,129","0,019","5,903"
TV PULS,2024-03-25,04:45:00,"0,129","0,019","6,127"
TV PULS,2024-03-25,05:00:00,"0,142","0,021","6,009"
TV PULS,2024-03-25,05:15:00,"0,145","0,022","5,447"
TV PULS,2024-03-25,05:30:00,"0,148","0,022","5,068"
TV PULS,2024-03-25,05:45:00,"0,173","0,026","4,767"
TV PULS,2024-03-25,06:00:00,"0,168","0,025","4,006"
TV PULS,2024-03-25,06:15:00,"0,184","0,028","3,772"
TV PULS,2024-03-25,06:30:00,"0,183","0,028","3,374"
TV PULS,2024-03-25,06:45:00,"0,142","0,021","2,465"
TV PULS,2024-03-25,07:00:00,"0,112","0,017","1,613"
TV PULS,2024-03-25,07:15:00,"0,108","0,016","1,445"
TV PULS,2024-03-25,07:30:00,"0,123","0,018","1,572"
TV PULS,2024-03-25,07:45:00,"0,134","0,020","1,659"
TV PULS,2024-03-25,08:00:00,"0,162","0,024","1,903"
TV PULS,2024-03-25,08:15:00,"0,214","0,032","2,223"
TV PULS,2024-03-25,08:30:00,"0,240","0,036","2,318"
TV PULS,2024-03-25,08:45:00,"0,244","0,037","2,283"
TV PULS,2024-03-25,09:00:00,"0,259","0,039","2,256"
TV PULS,2024-03-25,09:15:00,"0,236","0,035","2,027"
TV PULS,2024-03-25,09:30:00,"0,317","0,048","2,767"
TV PULS,2024-03-25,09:45:00,"0,264","0,040","2,285"
TV PULS,2024-03-25,10:00:00,"0,437","0,066","3,772"
TV PULS,2024-03-25,10:15:00,"0,323","0,048","2,694"
TV PULS,2024-03-25,10:30:00,"0,335","0,050","2,855"
TV PULS,2024-03-25,10:45:00,"0,386","0,058","3,323"
TV PULS,2024-03-25,11:00:00,"0,465","0,070","4,033"
TV PULS,2024-03-25,11:15:00,"0,597","0,090","5,059"
TV PULS,2024-03-25,11:30:00,"0,674","0,101","5,741"
TV PULS,2024-03-25,11:45:00,"0,592","0,089","5,181"
TV PULS,2024-03-25,12:00:00,"0,212","0,032","1,796"
TV PULS,2024-03-25,12:15:00,"0,286","0,043","2,396"
TV PULS,2024-03-25,12:30:00,"0,270","0,040","2,240"
TV PULS,2024-03-25,12:45:00,"0,177","0,027","1,492"
TV PULS,2024-03-25,13:00:00,"0,077","0,012","0,650"
TV PULS,2024-03-25,13:15:00,"0,076","0,011","0,650"
TV PULS,2024-03-25,13:30:00,"0,118","0,018","0,975"
TV PULS,2024-03-25,13:45:00,"0,185","0,028","1,511"
TV PULS,2024-03-25,14:00:00,"0,113","0,017","0,859"
TV PULS,2024-03-25,14:15:00,"0,084","0,013","0,611"
TV PULS,2024-03-25,14:30:00,"0,227","0,034","1,582"
TV PULS,2024-03-25,14:45:00,"0,239","0,036","1,709"
TV PULS,2024-03-25,15:00:00,"0,446","0,067","3,151"
TV PULS,2024-03-25,15:15:00,"0,608","0,091","4,177"
TV PULS,2024-03-25,15:30:00,"0,632","0,095","4,111"
TV PULS,2024-03-25,15:45:00,"0,484","0,073","2,925"
TV PULS,2024-03-25,16:00:00,"0,325","0,049","1,862"
TV PULS,2024-03-25,16:15:00,"0,316","0,047","1,777"
TV PULS,2024-03-25,16:30:00,"0,251","0,038","1,395"
TV PULS,2024-03-25,16:45:00,"0,332","0,050","1,789"
TV PULS,2024-03-25,17:00:00,"0,343","0,051","1,701"
TV PULS,2024-03-25,17:15:00,"0,412","0,062","1,964"
TV PULS,2024-03-25,17:30:00,"0,418","0,063","1,923"
TV PULS,2024-03-25,17:45:00,"0,429","0,064","1,886"
TV PULS,2024-03-25,18:00:00,"0,475","0,071","1,992"
TV PULS,2024-03-25,18:15:00,"0,640","0,096","2,505"
TV PULS,2024-03-25,18:30:00,"0,666","0,100","2,505"
TV PULS,2024-03-25,18:45:00,"0,818","0,123","2,915"
TV PULS,2024-03-25,19:00:00,"0,930","0,140","2,989"
TV PULS,2024-03-25,19:15:00,"1,055","0,158","3,247"
TV PULS,2024-03-25,19:30:00,"1,424","0,214","4,514"
TV PULS,2024-03-25,19:45:00,"1,696","0,254","5,359"
TV PULS,2024-03-25,20:00:00,"1,485","0,223","4,538"
TV PULS,2024-03-25,20:15:00,"1,281","0,192","3,851"
TV PULS,2024-03-25,20:30:00,"1,325","0,199","3,971"
TV PULS,2024-03-25,20:45:00,"1,219","0,183","3,678"
TV PULS,2024-03-25,21:00:00,"1,029","0,154","3,093"
TV PULS,2024-03-25,21:15:00,"0,840","0,126","2,589"
TV PULS,2024-03-25,21:30:00,"0,953","0,143","2,993"
TV PULS,2024-03-25,21:45:00,"0,952","0,143","3,268"
TV PULS,2024-03-25,22:00:00,"0,788","0,118","2,801"
TV PULS,2024-03-25,22:15:00,"0,603","0,090","2,326"
TV PULS,2024-03-25,22:30:00,"0,672","0,101","2,819"
TV PULS,2024-03-25,22:45:00,"0,918","0,138","4,378"
TV PULS,2024-03-25,23:00:00,"0,949","0,142","5,304"
TV PULS,2024-03-25,23:15:00,"0,808","0,121","5,162"
TV PULS,2024-03-25,23:30:00,"0,776","0,116","5,447"
TV PULS,2024-03-25,23:45:00,"0,614","0,092","5,094"
TV PULS,2024-03-25,24:00:00,"0,569","0,085","5,451"
TV PULS,2024-03-25,24:15:00,"0,421","0,063","4,646"
TV PULS,2024-03-25,24:30:00,"0,383","0,057","4,632"
TV PULS,2024-03-25,24:45:00,"0,433","0,065","5,964"
TV PULS,2024-03-25,25:00:00,"0,434","0,065","6,632"
TV PULS,2024-03-25,25:15:00,"0,440","0,066","7,781"
TV PULS,2024-03-25,25:30:00,"0,414","0,062","8,369"
TV PULS,2024-03-25,25:45:00,"0,414","0,062","9,011"
TV PULS,2024-03-26,02:00:00,"0,322","0,048","8,106"
TV PULS,2024-03-26,02:15:00,"0,300","0,045","9,222"
TV PULS,2024-03-26,02:30:00,"0,238","0,036","8,620"
TV PULS,2024-03-26,02:45:00,"0,226","0,034","8,626"
TV PULS,2024-03-26,03:00:00,"0,241","0,036","9,294"
TV PULS,2024-03-26,03:15:00,"0,114","0,017","5,040"
TV PULS,2024-03-26,03:30:00,"0,084","0,013","4,359"
TV PULS,2024-03-26,03:45:00,"0,086","0,013","5,328"
TV PULS,2024-03-26,04:00:00,"0,111","0,017","6,951"
TV PULS,2024-03-26,04:15:00,"0,111","0,017","6,803"
TV PULS,2024-03-26,04:30:00,"0,099","0,015","6,088"
TV PULS,2024-03-26,04:45:00,"0,111","0,017","6,236"
TV PULS,2024-03-26,05:00:00,"0,148","0,022","7,965"
TV PULS,2024-03-26,05:15:00,"0,148","0,022","7,154"
TV PULS,2024-03-26,05:30:00,"0,145","0,022","5,770"
TV PULS,2024-03-26,05:45:00,"0,224","0,034","7,636"
TV PULS,2024-03-26,06:00:00,"0,253","0,038","6,707"
TV PULS,2024-03-26,06:15:00,"0,256","0,038","5,571"
TV PULS,2024-03-26,06:30:00,"0,243","0,037","4,523"
TV PULS,2024-03-26,06:45:00,"0,235","0,035","3,691"
TV PULS,2024-03-26,07:00:00,"0,148","0,022","2,084"
TV PULS,2024-03-26,07:15:00,"0,145","0,022","1,807"
TV PULS,2024-03-26,07:30:00,"0,204","0,031","2,407"
TV PULS,2024-03-26,07:45:00,"0,187","0,028","2,191"
TV PULS,2024-03-26,08:00:00,"0,262","0,039","2,970"
TV PULS,2024-03-26,08:15:00,"0,438","0,066","4,759"
TV PULS,2024-03-26,08:30:00,"0,300","0,045","3,104"
TV PULS,2024-03-26,08:45:00,"0,356","0,053","3,778"
TV PULS,2024-03-26,09:00:00,"0,320","0,048","3,351"
TV PULS,2024-03-26,09:15:00,"0,338","0,051","3,481"
TV PULS,2024-03-26,09:30:00,"0,280","0,042","3,028"
TV PULS,2024-03-26,09:45:00,"0,230","0,034","2,406"
TV PULS,2024-03-26,10:00:00,"0,132","0,020","1,421"
TV PULS,2024-03-26,10:15:00,"0,138","0,021","1,448"
TV PULS,2024-03-26,10:30:00,"0,148","0,022","1,600"
TV PULS,2024-03-26,10:45:00,"0,148","0,022","1,643"
TV PULS,2024-03-26,11:00:00,"0,201","0,030","2,107"
TV PULS,2024-03-26,11:15:00,"0,239","0,036","2,546"
TV PULS,2024-03-26,11:30:00,"0,290","0,043","3,050"
TV PULS,2024-03-26,11:45:00,"0,272","0,041","2,770"
TV PULS,2024-03-26,12:00:00,"0,117","0,017","1,146"
TV PULS,2024-03-26,12:15:00,"0,153","0,023","1,522"
TV PULS,2024-03-26,12:30:00,"0,213","0,032","2,118"
TV PULS,2024-03-26,12:45:00,"0,198","0,030","1,956"
TV PULS,2024-03-26,13:00:00,"0,122","0,018","1,189"
TV PULS,2024-03-26,13:15:00,"0,055","0,008","0,535"
TV PULS,2024-03-26,13:30:00,"0,120","0,018","1,113"
TV PULS,2024-03-26,13:45:00,"0,151","0,023","1,398"
TV PULS,2024-03-26,14:00:00,"0,204","0,031","1,881"
TV PULS,2024-03-26,14:15:00,"0,241","0,036","2,143"
TV PULS,2024-03-26,14:30:00,"0,268","0,040","2,284"
TV PULS,2024-03-26,14:45:00,"0,249","0,037","2,142"
TV PULS,2024-03-26,15:00:00,"0,206","0,031","1,658"
TV PULS,2024-03-26,15:15:00,"0,171","0,026","1,310"
TV PULS,2024-03-26,15:30:00,"0,282","0,042","2,030"
TV PULS,2024-03-26,15:45:00,"0,280","0,042","1,875"
TV PULS,2024-03-26,16:00:00,"0,286","0,043","1,797"
TV PULS,2024-03-26,16:15:00,"0,249","0,037","1,517"
TV PULS,2024-03-26,16:30:00,"0,304","0,046","1,774"
TV PULS,2024-03-26,16:45:00,"0,315","0,047","1,751"
TV PULS,2024-03-26,17:00:00,"0,199","0,030","1,041"
TV PULS,2024-03-26,17:15:00,"0,155","0,023","0,765"
TV PULS,2024-03-26,17:30:00,"0,191","0,029","0,922"
TV PULS,2024-03-26,17:45:00,"0,293","0,044","1,358"
TV PULS,2024-03-26,18:00:00,"0,331","0,050","1,414"
TV PULS,2024-03-26,18:15:00,"0,293","0,044","1,191"
TV PULS,2024-03-26,18:30:00,"0,537","0,081","2,118"
TV PULS,2024-03-26,18:45:00,"0,807","0,121","2,932"
TV PULS,2024-03-26,19:00:00,"0,788","0,118","2,581"
TV PULS,2024-03-26,19:15:00,"0,632","0,095","2,011"
TV PULS,2024-03-26,19:30:00,"0,852","0,128","2,757"
TV PULS,2024-03-26,19:45:00,"0,923","0,138","2,888"
TV PULS,2024-03-26,20:00:00,"1,110","0,166","3,431"
TV PULS,2024-03-26,20:15:00,"1,014","0,152","3,001"
TV PULS,2024-03-26,20:30:00,"1,094","0,164","3,109"
TV PULS,2024-03-26,20:45:00,"0,999","0,150","2,565"
TV PULS,2024-03-26,21:00:00,"1,004","0,151","2,548"
TV PULS,2024-03-26,21:15:00,"0,969","0,145","2,469"
TV PULS,2024-03-26,21:30:00,"0,664","0,100","1,768"
TV PULS,2024-03-26,21:45:00,"0,423","0,063","1,216"
TV PULS,2024-03-26,22:00:00,"0,358","0,054","1,024"
TV PULS,2024-03-26,22:15:00,"0,357","0,054","1,059"
TV PULS,2024-03-26,22:30:00,"0,402","0,060","1,242"
TV PULS,2024-03-26,22:45:00,"0,389","0,058","1,256"
TV PULS,2024-03-26,23:00:00,"0,384","0,058","1,325"
TV PULS,2024-03-26,23:15:00,"0,329","0,049","1,161"
TV PULS,2024-03-26,23:30:00,"0,346","0,052","1,620"
TV PULS,2024-03-26,23:45:00,"0,386","0,058","2,328"
TV PULS,2024-03-26,24:00:00,"0,355","0,053","2,596"
TV PULS,2024-03-26,24:15:00,"0,288","0,043","2,687"
TV PULS,2024-03-26,24:30:00,"0,276","0,041","3,042"
TV PULS,2024-03-26,24:45:00,"0,327","0,049","4,158"
TV PULS,2024-03-26,25:00:00,"0,298","0,045","4,119"
TV PULS,2024-03-26,25:15:00,"0,286","0,043","4,467"
TV PULS,2024-03-26,25:30:00,"0,266","0,040","4,542"
TV PULS,2024-03-26,25:45:00,"0,183","0,027","3,886"
TV PULS,2024-03-27,02:00:00,"0,114","0,017","2,508"
TV PULS,2024-03-27,02:15:00,"0,105","0,016","2,688"
TV PULS,2024-03-27,02:30:00,"0,098","0,015","2,794"
TV PULS,2024-03-27,02:45:00,"0,090","0,014","2,922"
TV PULS,2024-03-27,03:00:00,"0,082","0,012","3,076"
TV PULS,2024-03-27,03:15:00,"0,070","0,010","2,870"
TV PULS,2024-03-27,03:30:00,"0,070","0,010","2,956"
TV PULS,2024-03-27,03:45:00,"0,070","0,010","3,152"
TV PULS,2024-03-27,04:00:00,"0,070","0,010","3,091"
TV PULS,2024-03-27,04:15:00,"0,070","0,010","3,543"
TV PULS,2024-03-27,04:30:00,"0,065","0,010","3,284"
TV PULS,2024-03-27,04:45:00,"0,077","0,012","4,342"
TV PULS,2024-03-27,05:00:00,"0,096","0,014","5,189"
TV PULS,2024-03-27,05:15:00,"0,129","0,019","5,928"
TV PULS,2024-03-27,05:30:00,"0,120","0,018","4,317"
TV PULS,2024-03-27,05:45:00,"0,097","0,015","3,369"
TV PULS,2024-03-27,06:00:00,"0,071","0,011","1,928"
TV PULS,2024-03-27,06:15:00,"0,084","0,013","1,801"
TV PULS,2024-03-27,06:30:00,"0,156","0,023","2,821"
TV PULS,2024-03-27,06:45:00,"0,165","0,025","2,491"
TV PULS,2024-03-27,07:00:00,"0,267","0,040","3,578"
TV PULS,2024-03-27,07:15:00,"0,229","0,034","2,829"
TV PULS,2024-03-27,07:30:00,"0,244","0,037","2,746"
TV PULS,2024-03-27,07:45:00,"0,263","0,039","2,922"
TV PULS,2024-03-27,08:00:00,"0,357","0,054","3,906"
TV PULS,2024-03-27,08:15:00,"0,381","0,057","4,077"
TV PULS,2024-03-27,08:30:00,"0,427","0,064","4,374"
TV PULS,2024-03-27,08:45:00,"0,428","0,064","4,322"
TV PULS,2024-03-27,09:00:00,"0,374","0,056","3,708"
TV PULS,2024-03-27,09:15:00,"0,338","0,051","3,230"
TV PULS,2024-03-27,09:30:00,"0,338","0,051","3,238"
TV PULS,2024-03-27,09:45:00,"0,333","0,050","3,262"
TV PULS,2024-03-27,10:00:00,"0,267","0,040","2,751"
TV PULS,2024-03-27,10:15:00,"0,332","0,050","3,341"
TV PULS,2024-03-27,10:30:00,"0,407","0,061","3,979"
TV PULS,2024-03-27,10:45:00,"0,492","0,074","4,789"
TV PULS,2024-03-27,11:00:00,"0,478","0,072","4,660"
TV PULS,2024-03-27,11:15:00,"0,400","0,060","3,938"
TV PULS,2024-03-27,11:30:00,"0,495","0,074","4,999"
TV PULS,2024-03-27,11:45:00,"0,487","0,073","4,908"
TV PULS,2024-03-27,12:00:00,"0,292","0,044","2,977"
TV PULS,2024-03-27,12:15:00,"0,244","0,037","2,382"
TV PULS,2024-03-27,12:30:00,"0,221","0,033","2,162"
TV PULS,2024-03-27,12:45:00,"0,222","0,033","2,228"
TV PULS,2024-03-27,13:00:00,"0,260","0,039","2,500"
TV PULS,2024-03-27,13:15:00,"0,289","0,043","2,831"
TV PULS,2024-03-27,13:30:00,"0,420","0,063","3,994"
TV PULS,2024-03-27,13:45:00,"0,495","0,074","4,662"
TV PULS,2024-03-27,14:00:00,"0,393","0,059","3,516"
TV PULS,2024-03-27,14:15:00,"0,253","0,038","2,182"
TV PULS,2024-03-27,14:30:00,"0,353","0,053","2,969"
TV PULS,2024-03-27,14:45:00,"0,459","0,069","3,936"
TV PULS,2024-03-27,15:00:00,"0,426","0,064","3,546"
TV PULS,2024-03-27,15:15:00,"0,350","0,053","2,689"
TV PULS,2024-03-27,15:30:00,"0,411","0,062","3,112"
TV PULS,2024-03-27,15:45:00,"0,396","0,059","2,938"
TV PULS,2024-03-27,16:00:00,"0,228","0,034","1,566"
TV PULS,2024-03-27,16:15:00,"0,228","0,034","1,461"
TV PULS,2024-03-27,16:30:00,"0,272","0,041","1,730"
TV PULS,2024-03-27,16:45:00,"0,414","0,062","2,540"
TV PULS,2024-03-27,17:00:00,"0,439","0,066","2,513"
TV PULS,2024-03-27,17:15:00,"0,323","0,049","1,727"
TV PULS,2024-03-27,17:30:00,"0,363","0,055","1,904"
TV PULS,2024-03-27,17:45:00,"0,504","0,076","2,456"
TV PULS,2024-03-27,18:00:00,"0,569","0,085","2,558"
TV PULS,2024-03-27,18:15:00,"0,463","0,069","2,006"
TV PULS,2024-03-27,18:30:00,"0,600","0,090","2,532"
TV PULS,2024-03-27,18:45:00,"0,627","0,094","2,443"
TV PULS,2024-03-27,19:00:00,"0,676","0,101","2,366"
TV PULS,2024-03-27,19:15:00,"0,753","0,113","2,499"
TV PULS,2024-03-27,19:30:00,"0,985","0,148","3,242"
TV PULS,2024-03-27,19:45:00,"1,171","0,176","3,850"
TV PULS,2024-03-27,20:00:00,"1,148","0,172","3,597"
TV PULS,2024-03-27,20:15:00,"1,259","0,189","3,817"
TV PULS,2024-03-27,20:30:00,"1,394","0,209","4,249"
TV PULS,2024-03-27,20:45:00,"1,428","0,214","4,335"
TV PULS,2024-03-27,21:00:00,"1,421","0,213","4,321"
TV PULS,2024-03-27,21:15:00,"1,258","0,189","3,928"
TV PULS,2024-03-27,21:30:00,"1,705","0,256","5,384"
TV PULS,2024-03-27,21:45:00,"1,809","0,271","5,934"
TV PULS,2024-03-27,22:00:00,"1,841","0,276","6,380"
TV PULS,2024-03-27,22:15:00,"1,082","0,162","4,043"
TV PULS,2024-03-27,22:30:00,"1,084","0,163","4,371"
TV PULS,2024-03-27,22:45:00,"1,276","0,191","5,526"
TV PULS,2024-03-27,23:00:00,"1,031","0,155","5,081"
TV PULS,2024-03-27,23:15:00,"0,955","0,143","5,514"
TV PULS,2024-03-27,23:30:00,"0,758","0,114","5,006"
TV PULS,2024-03-27,23:45:00,"0,734","0,110","5,408"
TV PULS,2024-03-27,24:00:00,"0,643","0,096","5,698"
TV PULS,2024-03-27,24:15:00,"0,479","0,072","5,067"
TV PULS,2024-03-27,24:30:00,"0,383","0,057","4,652"
TV PULS,2024-03-27,24:45:00,"0,306","0,046","4,133"
TV PULS,2024-03-27,25:00:00,"0,380","0,057","5,763"
TV PULS,2024-03-27,25:15:00,"0,378","0,057","6,460"
TV PULS,2024-03-27,25:30:00,"0,351","0,053","6,985"
TV PULS,2024-03-27,25:45:00,"0,333","0,050","7,121"
TV PULS,2024-03-28,02:00:00,"0,211","0,032","4,809"
TV PULS,2024-03-28,02:15:00,"0,113","0,017","3,203"
TV PULS,2024-03-28,02:30:00,"0,079","0,012","2,589"
TV PULS,2024-03-28,02:45:00,"0,079","0,012","2,677"
TV PULS,2024-03-28,03:00:00,"0,079","0,012","2,714"
TV PULS,2024-03-28,03:15:00,"0,150","0,022","6,008"
TV PULS,2024-03-28,03:30:00,"0,166","0,025","7,718"
TV PULS,2024-03-28,03:45:00,"0,169","0,025","7,831"
TV PULS,2024-03-28,04:00:00,"0,153","0,023","8,503"
TV PULS,2024-03-28,04:15:00,"0,143","0,021","8,600"
TV PULS,2024-03-28,04:30:00,"0,137","0,021","7,840"
TV PULS,2024-03-28,04:45:00,"0,046","0,007","2,703"
TV PULS,2024-03-28,05:00:00,"0,063","0,009","3,973"
TV PULS,2024-03-28,05:15:00,"0,084","0,013","4,234"
TV PULS,2024-03-28,05:30:00,"0,087","0,013","3,239"
TV PULS,2024-03-28,05:45:00,"0,096","0,014","3,038"
TV PULS,2024-03-28,06:00:00,"0,113","0,017","2,934"
TV PULS,2024-03-28,06:15:00,"0,100","0,015","2,237"
TV PULS,2024-03-28,06:30:00,"0,169","0,025","3,127"
TV PULS,2024-03-28,06:45:00,"0,160","0,024","2,652"
TV PULS,2024-03-28,07:00:00,"0,197","0,030","2,975"
TV PULS,2024-03-28,07:15:00,"0,227","0,034","3,015"
TV PULS,2024-03-28,07:30:00,"0,215","0,032","2,707"
TV PULS,2024-03-28,07:45:00,"0,232","0,035","2,697"
TV PULS,2024-03-28,08:00:00,"0,220","0,033","2,474"
TV PULS,2024-03-28,08:15:00,"0,235","0,035","2,553"
TV PULS,2024-03-28,08:30:00,"0,204","0,031","2,202"
TV PULS,2024-03-28,08:45:00,"0,221","0,033","2,252"
TV PULS,2024-03-28,09:00:00,"0,264","0,040","2,466"
TV PULS,2024-03-28,09:15:00,"0,214","0,032","1,901"
TV PULS,2024-03-28,09:30:00,"0,213","0,032","1,916"
TV PULS,2024-03-28,09:45:00,"0,227","0,034","2,013"
TV PULS,2024-03-28,10:00:00,"0,343","0,051","2,934"
TV PULS,2024-03-28,10:15:00,"0,413","0,062","3,347"
TV PULS,2024-03-28,10:30:00,"0,427","0,064","3,534"
TV PULS,2024-03-28,10:45:00,"0,288","0,043","2,363"
TV PULS,2024-03-28,11:00:00,"0,304","0,046","2,519"
TV PULS,2024-03-28,11:15:00,"0,269","0,040","2,274"
TV PULS,2024-03-28,11:30:00,"0,281","0,042","2,458"
TV PULS,2024-03-28,11:45:00,"0,224","0,034","1,974"
TV PULS,2024-03-28,12:00:00,"0,142","0,021","1,252"
TV PULS,2024-03-28,12:15:00,"0,140","0,021","1,291"
TV PULS,2024-03-28,12:30:00,"0,175","0,026","1,612"
TV PULS,2024-03-28,12:45:00,"0,274","0,041","2,555"
TV PULS,2024-03-28,13:00:00,"0,263","0,039","2,474"
TV PULS,2024-03-28,13:15:00,"0,243","0,037","2,194"
TV PULS,2024-03-28,13:30:00,"0,232","0,035","2,094"
TV PULS,2024-03-28,13:45:00,"0,189","0,028","1,604"
TV PULS,2024-03-28,14:00:00,"0,173","0,026","1,430"
TV PULS,2024-03-28,14:15:00,"0,264","0,040","2,125"
TV PULS,2024-03-28,14:30:00,"0,240","0,036","1,842"
TV PULS,2024-03-28,14:45:00,"0,260","0,039","1,958"
TV PULS,2024-03-28,15:00:00,"0,391","0,059","2,792"
TV PULS,2024-03-28,15:15:00,"0,388","0,058","2,620"
TV PULS,2024-03-28,15:30:00,"0,554","0,083","3,550"
TV PULS,2024-03-28,15:45:00,"0,562","0,084","3,392"
TV PULS,2024-03-28,16:00:00,"0,261","0,039","1,547"
TV PULS,2024-03-28,16:15:00,"0,256","0,038","1,442"
TV PULS,2024-03-28,16:30:00,"0,291","0,044","1,641"
TV PULS,2024-03-28,16:45:00,"0,336","0,050","1,791"
TV PULS,2024-03-28,17:00:00,"0,266","0,040","1,366"
TV PULS,2024-03-28,17:15:00,"0,359","0,054","1,860"
TV PULS,2024-03-28,17:30:00,"0,383","0,057","1,914"
TV PULS,2024-03-28,17:45:00,"0,344","0,052","1,639"
TV PULS,2024-03-28,18:00:00,"0,307","0,046","1,382"
TV PULS,2024-03-28,18:15:00,"0,450","0,068","1,959"
TV PULS,2024-03-28,18:30:00,"0,524","0,079","2,163"
TV PULS,2024-03-28,18:45:00,"0,714","0,107","2,824"
TV PULS,2024-03-28,19:00:00,"0,931","0,140","3,314"
TV PULS,2024-03-28,19:15:00,"1,034","0,155","3,610"
TV PULS,2024-03-28,19:30:00,"1,278","0,192","4,423"
TV PULS,2024-03-28,19:45:00,"1,190","0,178","4,042"
TV PULS,2024-03-28,20:00:00,"1,440","0,216","4,676"
TV PULS,2024-03-28,20:15:00,"1,656","0,248","5,188"
TV PULS,2024-03-28,20:30:00,"1,713","0,257","5,357"
TV PULS,2024-03-28,20:45:00,"1,614","0,242","5,027"
TV PULS,2024-03-28,21:00:00,"1,504","0,226","4,768"
TV PULS,2024-03-28,21:15:00,"1,439","0,216","4,704"
TV PULS,2024-03-28,21:30:00,"1,552","0,233","5,139"
TV PULS,2024-03-28,21:45:00,"1,533","0,230","5,347"
TV PULS,2024-03-28,22:00:00,"1,604","0,241","5,559"
TV PULS,2024-03-28,22:15:00,"1,328","0,199","4,984"
TV PULS,2024-03-28,22:30:00,"1,045","0,157","4,264"
TV PULS,2024-03-28,22:45:00,"1,166","0,175","5,162"
TV PULS,2024-03-28,23:00:00,"1,016","0,152","4,962"
TV PULS,2024-03-28,23:15:00,"1,061","0,159","6,009"
TV PULS,2024-03-28,23:30:00,"1,140","0,171","7,327"
TV PULS,2024-03-28,23:45:00,"1,283","0,192","9,213"
TV PULS,2024-03-28,24:00:00,"1,078","0,162","8,728"
TV PULS,2024-03-28,24:15:00,"0,694","0,104","6,661"
TV PULS,2024-03-28,24:30:00,"0,561","0,084","6,150"
